,person,state,district,vote,name,party,session
0,300002,TN,,Not Voting,Sen. Lamar Alexander [R],Republican,1
1,300018,WA,,Yea,"Sen. Maria Cantwell [D, 2001-2024]",Democrat,1
2,300019,DE,,Yea,"Sen. Thomas Carper [D, 2001-2024]",Democrat,1
3,300023,MS,,Yea,"Sen. Thad Cochran [R, 1979-2018]",Republican,1
4,300025,ME,,Yea,Sen. Susan Collins [R],Republican,1
5,300027,TX,,Yea,Sen. John Cornyn [R],Republican,1
6,300030,ID,,Yea,Sen. Michael Crapo [R],Republican,1
7,300038,IL,,Yea,Sen. Richard Durbin [D],Democrat,1
8,300041,WY,,Yea,Sen. Michael Enzi [R],Republican,1
9,300043,CA,,Yea,"Sen. Dianne Feinstein [D, 1992-2024]",Democrat,1
10,300047,SC,,Yea,Sen. Lindsey Graham [R],Republican,1
11,300048,IA,,Yea,Sen. Charles “Chuck” Grassley [R],Republican,1
12,300052,UT,,Not Voting,"Sen. Orrin Hatch [R, 1977-2018]",Republican,1
13,300055,OK,,Yea,Sen. James “Jim” Inhofe [R],Republican,1
14,300065,VT,,Yea,Sen. Patrick Leahy [D],Democrat,1
15,300071,AZ,,Not Voting,"Sen. John McCain [R, 1987-2018]",Republican,1
16,300072,KY,,Yea,Sen. Mitch McConnell [R],Republican,1
17,300075,AK,,Not Voting,Sen. Lisa Murkowski [R],Republican,1
18,300076,WA,,Yea,Sen. Patty Murray [D],Democrat,1
19,300078,FL,,Yea,"Sen. Bill Nelson [D, 2001-2018]",Democrat,1
20,300081,RI,,Yea,Sen. John “Jack” Reed [D],Democrat,1
21,300083,KS,,Yea,Sen. Pat Roberts [R],Republican,1
22,300087,NY,,Yea,Sen. Charles “Chuck” Schumer [D],Democrat,1
23,300089,AL,,Yea,Sen. Richard Shelby [R],Republican,1
24,300093,MI,,Yea,"Sen. Debbie Stabenow [D, 2001-2018]",Democrat,1
25,300100,OR,,Nay,Sen. Ron Wyden [D],Democrat,1
26,400013,WI,,Yea,"Sen. Tammy Baldwin [D, 2013-2024]",Democrat,1
27,400034,MO,,Yea,Sen. Roy Blunt [R],Republican,1
28,400040,AR,,Yea,Sen. John Boozman [R],Republican,1
29,400050,OH,,Yea,"Sen. Sherrod Brown [D, 2007-2024]",Democrat,1
30,400054,NC,,Not Voting,Sen. Richard Burr [R],Republican,1
31,400061,WV,,Yea,Sen. Shelley Capito [R],Republican,1
32,400064,MD,,Yea,"Sen. Benjamin Cardin [D, 2007-2024]",Democrat,1
33,400134,AZ,,Yea,"Sen. Jeff Flake [R, 2013-2018]",Republican,1
34,400194,GA,,Yea,Sen. John “Johnny” Isakson [R],Republican,1
35,400253,MA,,Nay,Sen. Edward “Ed” Markey [D],Democrat,1
36,400272,NJ,,Yea,"Sen. Robert “Bob” Menendez [D, 2006-2024]",Democrat,1
37,400284,KS,,Not Voting,Sen. Jerry Moran [R],Republican,1
38,400325,OH,,Yea,Sen. Robert “Rob” Portman [R],Republican,1
39,400357,VT,,Nay,"Sen. Bernard “Bernie” Sanders [I, 2007-2024]",Independent,1
40,400408,PA,,Yea,Sen. Patrick “Pat” Toomey [R],Republican,1
41,400413,NM,,Yea,Sen. Tom Udall [D],Democrat,1
42,400415,MD,,Yea,Sen. Chris Van Hollen Jr. [D],Democrat,1
43,400432,MS,,Yea,"Sen. Roger Wicker [R, 2007-2024]",Republican,1
44,400546,SD,,Yea,Sen. John Thune [R],Republican,1
45,412194,CT,,Yea,"Sen. Christopher Murphy [D, 2013-2024]",Democrat,1
46,412200,HI,,Yea,"Sen. Mazie Hirono [D, 2013-2024]",Democrat,1
47,412205,IN,,Yea,"Sen. Joe Donnelly [D, 2013-2018]",Democrat,1
48,412218,NV,,Not Voting,"Sen. Dean Heller [R, 2011-2018]",Republican,1
49,412223,NY,,Nay,"Sen. Kirsten Gillibrand [D, 2009-2024]",Democrat,1
50,412242,MN,,Yea,"Sen. Amy Klobuchar [D, 2007-2018]",Democrat,1
51,412243,MO,,Yea,"Sen. Claire McCaskill [D, 2007-2018]",Democrat,1
52,412244,MT,,Yea,"Sen. Jon Tester [D, 2007-2024]",Democrat,1
53,412246,PA,,Yea,"Sen. Robert “Bob” Casey Jr. [D, 2007-2024]",Democrat,1
